koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
9.48803557,8.20075,2.26,2.42,0.079,0.866,5455.0,5274.0,0.927,0.841458,15.347,1.0
54.4183827,8.20075,2.83,2.42,0.079,0.866,5455.0,5274.0,0.927,0.841458,15.347,1.0
19.89913995,8.20075,14.6,2.42,0.079,0.866,5853.0,5274.0,0.868,0.841458,15.436,0.0
1.736952453,8.20075,33.46,2.42,0.079,0.866,5805.0,5274.0,0.791,0.841458,15.597,2.0
2.525591777,8.20075,2.75,2.42,0.079,0.866,6031.0,5274.0,1.046,0.841458,15.509,1.0
11.09432054,8.20075,3.9,2.42,0.079,0.866,6046.0,5274.0,0.972,0.841458,15.714,1.0
4.13443512,8.20075,2.77,2.42,0.079,0.866,6046.0,5274.0,0.972,0.841458,15.714,1.0
2.56658897,8.20075,1.59,2.42,0.079,0.866,6046.0,5274.0,0.972,0.841458,15.714,1.0
7.36178958,8.20075,39.21,2.42,0.079,0.866,6227.0,5274.0,1.958,0.841458,12.66,2.0
16.06864674,8.20075,5.76,2.42,0.079,0.866,5031.0,5274.0,0.848,0.841458,15.841,1.0
2.470613377,8.20075,13.04,2.42,0.079,0.866,5820.0,5274.0,0.964,0.841458,11.338,1.0
2.204735417,8.20075,16.1,2.42,0.079,0.866,6440.0,5274.0,1.952,0.841458,10.463,1.0
3.522498429,8.20075,14.59,2.42,0.079,0.866,6225.0,5274.0,1.451,0.841458,13.563,1.0
3.709214104,8.20075,1.16,2.42,0.079,0.866,5833.0,5274.0,1.022,0.841458,12.772,1.0
11.521446064,8.20075,150.51,2.42,0.079,0.866,5795.0,5274.0,0.848,0.841458,15.472,2.0
19.40393776,8.20075,7.18,2.42,0.079,0.866,5043.0,5274.0,0.68,0.841458,15.487,2.0
19.221388942,8.20075,49.29,2.42,0.079,0.866,6117.0,5274.0,0.947,0.841458,15.341,2.0
16.46983774,8.20075,7.94,2.42,0.079,0.866,5152.0,5274.0,0.786,0.841458,15.788,2.0
9.27358173,8.20075,2.47,2.42,0.079,0.866,4856.0,5274.0,0.696,0.841458,15.302,1.0
6.02930329,8.20075,2.85,2.42,0.079,0.866,4537.0,5274.0,0.672,0.841458,15.784,1.0
2.696370652,8.20075,1.58,2.42,0.079,0.866,4989.0,5274.0,0.819,0.841458,15.269,2.0
5.349553819,8.20075,2.55,2.42,0.079,0.866,5185.0,5274.0,0.91,0.841458,15.416,1.0
3.94105221,8.20075,1.7,2.42,0.079,0.866,5185.0,5274.0,0.91,0.841458,15.416,1.0
8.10904807,8.20075,1.3,2.42,0.079,0.866,5185.0,5274.0,0.91,0.841458,15.416,1.0
386.6030528,8.20075,41.5,2.42,0.079,0.866,5543.0,5274.0,1.58,0.841458,12.394,2.0
21.67699193,8.20075,2.95,2.42,0.079,0.866,4954.0,5274.0,0.828,0.841458,15.377,1.0
4.99677968,8.20075,2.78,2.42,0.079,0.866,5339.0,5274.0,0.847,0.841458,15.861,1.0
4.280963604,8.20075,2.3,2.42,0.079,0.866,5644.0,5274.0,0.831,0.841458,15.356,1.0
1.50635409,8.20075,4.53,2.42,0.079,0.866,5714.0,5274.0,0.831,0.841458,15.525,2.0
670.645531,8.20075,14.14,2.42,0.079,0.866,5520.0,5274.0,0.983,0.841458,15.207,2.0
61.2563628,8.20075,39.87,2.42,0.079,0.866,6144.0,5274.0,1.091,0.841458,15.25,2.0
38.3775486,8.20075,2.82,2.42,0.079,0.866,5481.0,5274.0,1.036,0.841458,15.172,1.0
41.19725502,8.20075,3.86,2.42,0.079,0.866,5031.0,5274.0,0.848,0.841458,15.841,1.0
6.252962249,8.20075,2.65,2.42,0.079,0.866,5031.0,5274.0,0.848,0.841458,15.841,1.0
16.01308419,8.20075,3.1,2.42,0.079,0.866,5015.0,5274.0,0.826,0.841458,15.39,1.0
32.62876672,8.20075,3.36,2.42,0.079,0.866,5586.0,5274.0,0.798,0.841458,15.082,1.0
91.7732862,8.20075,2.12,2.42,0.079,0.866,5586.0,5274.0,0.798,0.841458,15.082,1.0
4.959319244,8.20075,12.21,2.42,0.079,0.866,5712.0,5274.0,1.082,0.841458,15.263,1.0
2.701287801,8.20075,6.54,2.42,0.079,0.866,5550.0,5274.0,0.91,0.841458,15.54,2.0
4.49876511,8.20075,2.1,2.42,0.079,0.866,6075.0,5274.0,0.969,0.841458,15.395,1.0
19.651209505,8.20075,12.42,2.42,0.079,0.866,6074.0,5274.0,1.063,0.841458,15.536,2.0
